AAB	Abelag Aviation	ABG
RTV	Nortavia - Portugal	Tic-Tac
RTZ	Regional Air Services - Romania	Aerotuzla
RUC	Rutas Aereas, C.A. - Venezuela	Rutaca
RUF	Air 1st Aviation Companies of Oklahoma, Inc. (Tulsa, OK)	Rough Rider
RUN	Act Havayollari A.S. - Turkey	Cargo Turk
RUR	?	Russtar
RUT	?	Yadid
RUZ	Rosuertol - Russian Federation	Rostuertol
RVA	Raven Air  (Anchorage, AK) - United States	Raven Air
RVC	Richards Aviation, Inc. (Memphis, TN) - United States	River City
RVE	Airventure - Belgium	Airventure
RVF	?	Raven Flight
RVG	Mexico	Aero Vina
RVI	Aero Servicios, S.A. de C.V. - Mexico	Aero Servicios
RVJ	Aircraft Management Group, Inc. (Moon Township, PA)	Rivers Jet
RVL	?	Air Vallee
RVM	River Ministries Air Charter Services (Pty) Ltd - South Africa	River
RVN	Qualiflight Training, Inc. D/B/A/  Raven Air (Fort Worth, TX)	Raven U-S
RVP	?	Aerovip
RVQ	?	Reva Air
RVR	Raven Air Ltd. - United Kingdom	Raven
RVT	Airline Rostvertol-Avia CJSC - Russian Federation	Rostvertol
RVU	?	Georgian Balloon
RVV	Reeve Aleutian Airways Inc. - United States	Reeve
RWD	?	Rwandair
RWE	Royal West Airlines (Las Vegas, NV)	Royal West
RWG	C & M Airways, Inc. (El Paso, TX)	Red Wing
RWK	Air Tourisme Instruction Services - France	Airawak
RWL	?	Rheintrainer
RWN	Red Wings, S.A. de C.V. - Mexico	Rojas
RWZ	Airlines 400, JSC (Red Wings Airlines) - Russian Federation	Air Red
RXP	RAM Express - Morocco	Express Maroc
RXT	Aeroxtra, S.A. de C.V. - Mexico	Aero-Extra
RYA	Ryan Air Services, Inc. (Unalaklee, AK) - United States	Ryan Air
RYB	Royal Bahrain Airlines Bsc (Closed)	Royal Bahrain
RYJ	Aerotaxis del Mediterraneo S.L. - Spain	Ryjet
RYL	?	Double Gold
RYN	Ryan Aviation Corporation D/B/A Ryan  International Airlines (Wichita,KS) - United States	Ryan International
RYR	Ryanair	Ryanair
RYW	Royal Wings - Jordan	Royal Wings
RZA	Jet Fighter Flights Pty Ltd - Australia	Razor
RZJ	Rizon Jet - United Arab Emirates	Rizon Jet
RZL	Aero Zambia Limited - Zambia	Aero Zambia
RZN	Aero Zano, S.A. de C.V. - Mexico	Zano
RZO	Sata Internacional - Portugal	Air Azores
RZQ	?	Rizon
RZR	Zephyr Express (Burbank, CA)	Recovery
RZT	?	Ritz Jet
RZU	Zhersu Avia	Zhersu Avia
SAA	South African Airways (SAA) - South Africa	Springbok
SAB	Sky Way Air - Kyrgyzstan	Sky Asian
SAC	Sudanese Aeronautical Services Co. Ltd (Sasco  Airlines) - Sudan	Sasco
SAD	Spets Avia Indastria, MAC - Ukraine	Indastria
SAE	Sampoerna Air Nusantara, Pt. - Indonesia	Sampoerna
SAF	Republic of Singapore Air Force	Singa
SAG	?	Aero Eagle
SAH	?	Smart Jet
SAI	Shaheen Air International - Pakistan	Shaheen Air
SAK	Red Arrows Display Squadron	Red Arrows
SAM	SAM, Sociedad Aeronautica de Medellin - Colombia	Sam
SAN	?	Silvair Net
SAO	Sahel Aviation Service - Mali	Savser
SAP	Avia Jaynar, Air Company LLC - Kazakhstan	Tobol
SAQ	?	Sinbad
SAR	Sprintair Cargo S.P. Z.o.o. - Poland	Sprintair Cargo
SAS	Scandinavian Airlines System	Scandinavian
SAT	Servico Acoreano de Transportes Aereos - Ep (SATA) - Portugal	Sata
SAW	Sham Wing Airlines - Syrian Arab Republic	Shamwing
SAX	Sabahair Aviation Sdn. Bhd. - Malaysia	Sabah Air
SAY	?	Sky Path
SAZ	Swiss Air-Ambulance Ltd., Zurich - Switzerland	Swiss Ambulance
SBA	?	Sol Brasil
SBC	Mount Air Cc T/A Emoyeni Air Charter - South Africa	Sabian Air
SBD	Sibia Ltd - Russian Federation	Sibia
SBE	?	Starbase
SBF	Seven Bar Flying Service, Inc. (Albuquerque, NM) - United States	S-Bar
SBH	Aerosaab, S.A. de C.V. - Mexico	Aerosaab
SBI	Siberia Airlines - Russian Federation	Siberian Airlines
SBJ	Trans Sahara Air Ltd - Nigeria	Trans Sahara
SBK	Blue Sky Aviation Services Ltd - Kenya	Mawingu
SBL	Sobel Airlines of Ghana - Ghana	Sobghana
SBM	Sky Bahamas - Bahamas	Tropical Sky
SBN	?	Skybosnia
SBO	Stabo Air Limited - Zambia	Stabair
SBP	Shahin Ball Parvaz - Iran (Islamic Republic Of)	Shahin Ball
SBQ	Smithkline Beacham Clinical Labs - United States	Skibble
SBR	Saber Aviation Inc. (Charlotte, NC) - United States	Freighter
SBS	Seaborne Airlines (Christiansted, USVI)	Seaborne
SBT	Taftan Airlines - Iran (Islamic Republic of)	Taftan
SBU	Saint Barth Commuter - France	Black Fin
SBV	Skyblue Aviation Ltd - United Kingdom	Ripple
SBW	?	Snowman
SCA	South Central Air, Inc. (Kenai, AK) - United States	South Central
SCB	Sao Paulo Air Transports Ltda - Brazil	SP Cargo
SCC	Seacoast Airlines, Inc. (Clearwater, FL)	Sea-Coaster
SCD	Associated Aviation Limited - Nigeria	Associated
SCE	Scenic Airlines, Inc. (N. Los Vegas, NV)	Scenic
SCF	Socofer, Lda - Angola	Socofer
SCG	?	Costa Calida
SCH	?	Ocean Bird
SCI	Servicios Aereos San Cristobal - Mexico	San Cristobal
SCJ	?	Siamjet
SCK	Sky Cam - France	Skycam
SCL	Shell Canada - Canada	Shell Canada
SCM	American Jet International Corp. (Houston, TX)	Screamer
SCN	South American Airlines - Peru	South American
SCP	?	Sky Copter
SCQ	BF Scandinavian Aviation Academy Ab	Scavac
SCR	?	Silver Cloud
SCS	Charters (South African Non Scheduled Airways (Pty) Ltd) - South Africa	Southern Charters
SCT	Saab-Aircraft Ab	Saab-Craft
SCU	Air Scorpio - Bulgaria	Scorpio Univers
SCV	Servicios Aereos del Centro, S.A. de C.V. - Mexico	Sacsa
SCW	?	Scanwing
SCX	MN Airlines, LLC, D/B/A Sun Country Airlines (Mendota Heights, MN) - United States	Sun Country
SDB	?	Shore Air
SDC	Sunrise Airlines (Page, AZ) - United States	Sundance
SDD	R I C Inc., D/B/A Skymaster Air Taxi (Laconia, NH)	Sky Dance
SDE	?	Stampede
SDI	?	Servi Dinamic
SDK	Sociedad Aerea del Caqueta Ltda - Colombia	Sadelca
SDL	Skydrift Ltd - United Kingdom	Skydrift
SDM	Russian Federation	Rossiya
SDN	Spirit of Africa Airlines - Sudan	Blue Nile
SDO	Aerolineas Santo Domingo, S.A. - Dominican Republic	Aero Domingo
SDP	Aero Sudpacifico, S.A. - Mexico	Sudpacifico
SDQ	?	Mextecnico
SDR	?	Sundair
SDS	CAA Training Standards	Standards
SDT	?	Sadat
SDU	?	Santos
SDV	Servicios Aereos del Vaupes Ltda. - Colombia	Selva
SDX	Servicio Tecnico Aero de Mexico, S.A. de C.V. - Mexico	Servicio Tecnico
SDY	Island Express (Ft. Lauderdale, FL) - United States	Sandy Isle
SDZ	Sudan Pezetel for Aviation - Sudan	Sudana
SEA	Southeast Air, Inc. (New Bedford, MA) - United States	Southeast Air
SEB	Servicios Aereos Luce, S.A. de C.V. - Mexico	Serviluce
SEC	3D Aviation, Inc. (Helena, MT)	Securex
SED	Sedona Air Center (West Sedona, AZ)	Sedona Air
SEE	?	Seeker
SEF	Aero Servicios Ejecutivas del Pacifico, S.A. de C.V. - Mexico	Servipacifico
SEG	Eagle International - Senegal	Sen-Eagle
SEH	Sky Express S.A. - Greece	Air Crete
SEI	Transportes Aereos Sierra Madre, S.A. de C.V. - Mexico	Transporte Sierra
SEJ	Spicejet - India	Spicejet
SEK	?	East Rider
SEL	Sentel Corporation (Newport News, VA) - United States	Sentel
SEM	Cape Central Airways, Inc. (Cape Girardeau, MO)	Semo
SEN	?	Servisierra
SEO	Selcon Airlines Ltd - Nigeria	Selcon Air
SEP	?	Serene
SEQ	Sky Eyes Co., Ltd - Thailand	Sky Eyes
SER	Aerocalifornia, S.A. - Mexico	Aerocalifornia
SES	Servicio Aereo Saltillo, S.A. de C.V. - Mexico	Servisal
SET	?	Solenta
SEV	Serair Transworld Press, S.L. - Spain	Cargopress
SEW	?	Skyward Express
SEY	Air Seychelles - Seychelles	Seychelles
SFD	Speed Fly - Spain	Draco
SFF	Safewing Aviation Company, Inc. (Kansas City, MO) - United States	Swiftwing
SFH	North American Jet Charter Group, LLC (Wheeling, IL) - United States	Starfish
SFI	Republic of Korea	Space Star
SFJ	Star Flyer Inc - Japan	Starflyer
SFL	Swift Air - Bahrain	Swiftline
SFM	A-Safar Air Services Limited - Nigeria	Air Safar
SFN	Safiran Airlines - Iran (Islamic Republic of)	Safiran
SFQ	Sahara Air Cargo - United Republic of Tanzania	Sahara Cargo
SFR	Safair (Pty.) Ltd - South Africa	Cargo
SFS	Swiss Flight Services SA - Switzerland	Topo
SFT	Skyfreight, Inc. (Seattle, WA) - United States	Skyfreight
SFU	Solent Flight Limited - United Kingdom	Saints
SFV	Safe Servicios Aereos, S.A. de C.V. - Mexico	Safe Servicios
SFW	Safi Airways - Afghanistan	Safi Airways
SFX	?	Swamp Fox
SFY	Gulf Flite Center, Inc. (Sarasota, FL) - United States	Sky Flite
SFZ	?	Skyforce
SGA	?	Sol Uruguay
SGB	Sky King, Inc. (Sacramento, CA) - United States	Songbird
SGC	?	Saint George
SGD	?	Air Blue
SGG	Senegal Airlines	Senegal Air
SGH	Servisair Ltd. - United Kingdom	Servisair
SGK	?	Supreme
SGL	?	Sigair
SGM	Sky Aircraft Service - Netherlands	Sigma
SGN	Siam General Aviation Co., Ltd	Siam
SGO	?	Maiden
SGP	Sagolair Transportes Ejecutivos S.L. - Spain	Sagolair
SGQ	?	Saudi Gold
SGS	Saskatchewan Government Executive Air Service - Canada	Saskatchewan
SGT	?	Stargate
SGU	?	Solparaguayo
SGV	Aerosegovia, S.A. - Nicaragua	Segovia
SHA	Shree Airlines - Nepal	Shree-Air
SHC	Sky Harbor Air Service Inc. (Cheyenne, WY) - United States	Sky Harbor Cheyenne
SHE	Shell Aircraft Ltd.	Shell
SHF	Support Helicopter Force	Vortex
SHG	Shoprite Group Ltd - United Kingdom	Shop Air
SHI	?	Shirazi
SHJ	Sharjah Ruler's Flight - United Arab Emirates	Sharjah
SHL	Samson Aviation Ltd - United Kingdom	Samson
SHM	Sheltam Aviation Cc - South Africa	Sheltam
SHN	Shaheen Airport Services - Pakistan	Sugar Alfa
SHP	SAF Helicopteres - France	Saf
SHQ	Shanghai Airlines Cargo International Company - China	Shanghai Cargo
SHR	Air Sylhet AG - Austria	Sylhet
SHS	Suhur Airways - Ethiopia	Shura Air
SHT	British Airways Shuttle	Shuttle
SHU	?	Aurora
SHV	Shavano Air, Inc. (Poncha Springs, CO) - United States	Shavano
SHW	?	Shadow
SHX	Slim Aviation Services Limited - Nigeria	Slim Air
SHY	Sky Airlines - Turkey	Sky Power
SHZ	Airshares Elite (Atlanta, GA)	Elite Shares
SIA	Singapore Airlines Limited - Singapore	Singapore
SIB	?	Sea Air
SIC	SFS Aviation Co., Ltd - Thailand	Sichart
SID	?	Sideral
SIE	Sierra Express (Reno, NV) - United States	Serex
SII	Aero Servicios Ejecutivos Internacionales, S.A. de C.V. - Mexico	Aseisa
SIK	Sika Airlines	Sika
SIL	?	Silver Wings
SIO	Sirio S.p.A. - Italy	Sirio
SIQ	?	Science Quest
SIR	Salair, Inc. (Seattle, WA) - United States	Salair
SIS	?	Silverspeed
SIV	Solenta Aviation - CI	Solent-Ivoire
SIX	?	Drive Orange
SIZ	Aero Silza, S.A. de C.V. - Mexico	Aerosilza
SJA	Servicios Aereos Especiales de Jalisco, S.A. de C.V. - Mexico	Serviciojal
SJC	Servicios Ejecutivos Continental, S.A. de C.V. - Mexico	Serviejecutivo
SJE	?	Sun Journey
SJF	?	Harmattan
SJJ	Spirit Aviation, Inc. (Van Nuys, CA) - United States	Spirit Jet
SJK	?	Nusantara
SJL	Servicios Especiales del Pacifico Jalisco, S.A. de C.V. - Mexico	Servicios Jalisco
SJM	?	Sino Sky
SJN	Chartair, Inc. D/B/A Air San Juan (Friday Harbor, WA) - United States	San Juan
SJO	?	Jey Spring
SJT	Swiss Jet Ltd - Switzerland	Swiss Jet
SJY	Sriwijaya Air, Pt. - Indonesia	Sriwijaya
SKA	?	Skylan Airways
SKB	Skybus Airlines, Inc. (Columbus, OH) - United States	Skybus
SKC	Skymaster Air Lines Ltda - Brazil	Skymaster Air
SKD	Sky Harbor Air Service, Inc. (Omaha, NE) - United States	Sky Dawg
SKE	Sky Tours, Inc. (Port Clinton, OH) - United States	Skyisle
SKF	Skycraft, Inc. (Seattle, WA) - United States	Skycraft
SKG	Sky Gabon - Gabon	Sky Gabon
SKH	British Sky Broadcasting Ltd	Skynews
SKI	Skyking Ltd - United Kingdom	Skyking
SKJ	?	Skynet Air
SKK	Asky - Togo	Asky Airline
SKL	Skycharter (Malton) Limited - Canada	Skycharter
SKM	Fayetteville Flying Service and Scheduled Skyways System (Fayetteville, AR)	Skytem
SKN	Skyline Aviation Services, Inc. (Beaver Falls, PA) - United States	Skyliner
SKO	Scottish Airways Flyers Ltd - United Kingdom	Skywork
SKP	Skytrans Airlines - Australia	Skytrans
SKQ	Labcorp, Inc. (Burlington, NC) - United States	Skylab
SKR	Skyscapes Air Charters - South Africa	Skyscapes
SKT	?	Skycat
SKU	Sky Service - Chile	Aerosky
SKV	?	Maple
SKW	Sky West Aviation, Inc. (St. George, UT) - United States	Skywest
SKY	Skymark Airlines Inc. - Japan	Skymark
SKZ	Skyway Enterprises, Inc. (Kissimmee, FL)	Skyway-Inc
SLB	Slok Air Limited - Nigeria	Slok Air
SLC	?	Salsa
SLD	Silver Air Ltd - Czech Republic	Silverline
SLE	Streamline Nac - South Africa	Slipstream
SLG	Saskatchewan Government Air Ambulance Service - Canada	Lifeguard
SLH	Silverhawk Aviation, Inc. (Seward, NE) - United States	Silverhawk
SLI	Aerolitoral, S.A. de C.V. - Mexico	Costera
SLJ	Slam Lavori Aerei S.r.l. - Italy	Slamair
SLK	Silkair (Singapore) Pte Ltd - Singapore	Silkair
SLM	Surinaamse Luchtvaart Maatschappij N.V. - Suriname	Surinam
SLN	?	Sloane
SLO	Edgartown Air, Inc. (Edgartown, MA) - United States	Slow
SLP	Salpa Aviation Co. Ltd. (Sudan) - Sudan	Salpa
SLQ	Skylink Express Inc - Canada	Skylink
SLR	?	Silverstone
SLS	Servicios Aereos Slainte, S.A. de C.V. - Mexico	Servicios Slainte
SLT	Starlight Airline STP, S.A. - Sao Tome and Principe	Starlight Cargo
SLU	Avio Sluzba - Serbia	Avio Sluzba
SLV	Stella Aviation - Mauritania	Avistella
SLW	Salama Airlines Nigeria Limited - Nigeria	Salma Air
SLX	Sete Linhas Aereas Ltda. - Brazil	Sete
SLY	Sky Line for Air Services Ltd - Sudan	Skyco
SLZ	Super Luza - Angola	Luza
SMA	Sma Airlines Nig. Limited - Nigeria	Sesame
SMC	SMAC (Sabang Merauke Raya Air Charter), Pt. - Indonesia	Samer
SMD	Servicios Aereos La Marquesa, S.A. de C.V. - Mexico	Servicios Marquesa
SMG	?	Smart Cargo
SMH	Smithair, Inc. (Atlanta, GA) - United States	Smithair
SMI	Aero Sami, S.A. de C.V. - Mexico	Sami
SMJ	Avient Aviation - Zimbabwe	Avavia
SML	?	Simavia
SMM	Summit Airlines (Philadelphia, PA) - United States	Summit-Air
SMO	Servicios Aereos Automotriz, S.A. De C.V. - Mexico	Serviautomotriz
SMQ	Samar Air - Tajikistan	Samar Air
SMR	Somon Air - Tajikistan	Somon Air
SMS	Linhas Aereas Santomenses - Sao Tome and Principe	Santomenses
SMT	Skyline Ltd - Nigeria	Skylimit
SMU	?	Springer
SMV	Smart Aviation - France	Smart Aviation
SMW	Carpatair Flight Training - Romania	Smart Wings
SMX	?	Swanton
SMY	Sama Leltayaran - Saudi Arabia	Najim
SMZ	RAF Scampton	Scampton
SNA	Senator Aviation Charter GmbH, Koln - Germany	Senator
SNB	Sterling Air A/S - Denmark	Sterling
SNC	Air Cargo Carriers, Inc. (Milwaukee, WI)	Night Cargo
SND	Skytraders Pty Ltd - Australia	Snowbird
SNE	Servicios Aereos de Nicaragua, S.A. (SANSA) - Nicaragua	Sansa
SNF	?	Matzada
SNG	China	Snow Eagle
SNH	Senair Services - Senegal	Senservice
SNI	Savanah Airlines Limited - Nigeria	Savanahline
SNJ	Japan	Newsky
SNK	Sun Jet International, Inc. D/B/A Southeast Airlines (Largo, FL) - United States	Sun King
SNL	Soonair Lines, Inc. (Tulsa, OK) - United States	Soonair
SNM	Servizi Aerei SpA - Italy	Servizi Aerei
SNO	?	Sonavi
SNP	Sun Pacific International, Inc. (Tucson, AZ) - United States	Sun Pacific
SNQ	Sun Quest Executive Air Charter, Inc. (Pacoima, CA) - United States	Execu-Quest
SNR	Sun Air Co. - Sudan	Sun Group
SNT	Suncoast Aviation, Inc.(Clearwater,Fl) - United States	Suncoast
SNV	Sudanese States Aviation Co. Ltd - Sudan	Sudanese
SNW	Sun West Airlines (Scottsdale, AZ) - United States	Sun West
SNY	?	Nayarit
SOA	Southern Air Charter - Bahamas	South Aircharter
SOB	Stabo Freight Limited - Zambia	Stabo
SOC	?	Serviaereo
SOD	Aerolineas Sol, S.A. de C.V. - Mexico	Alsol
SOE	Air Soleil, Societe - Mauritania	Air Soleil
SOF	?	Sky Comfort
SOH	Southern Ohio Aviation Sales Co. (W. Carrollton, OH)	Southern Ohio
SOI	Southern Aviation Limited - Zambia	Soavair
SOK	S.A.C. Industries, LLC (Bozeman, MT) - United States	Snow Ski
SOL	Solomon Airlines Limited - Solomon Islands	Solomon
SOM	?	Aero-Sal
SOO	Southern Air, Inc. (Columbus, OH) - United States	Southern Air
SOP	Solinair Ltd - Slovenia	Solinair
SOR	Sonair Servico Aereo, Sarl - Angola	Sonair
SOT	Southeast Correct Craft, Inc. (Orlando, FL) - United States	South Courier
SOV	Saratov Aviation Division - Russian Federation	Saratov Air
SOW	?	Sparrow
SOY	Island Aviation, Inc. - Philippines	Soriano
SOZ	Jet Airlines - Kazakhstan	Satco
SPA	Sierra Pacific Airlines (Tucson, AZ) - United States	Sierra Pacific
SPB	Springbok Classic Air - South Africa	Spring Classic
SPC	Skyworld Airlines (Denver, CO)	Port
SPD	?	Sky Prime
SPE	Sprague Electric Co. (North Adams, MA) - United States	Sprague
SPF	Space World Airline - Nigeria	Space World
SPG	?	Speedwing
SPH	Sapphire Executive Air - South Africa	Sapphire-Charter
SPI	South Pacific Island Airways, Inc. - United States	South Pacific
SPJ	Spectrum Aviation	Spectrum
SPK	?	Solstas Lab
SPL	Servicios Corporativos Aereos de La Laguna, S.A. de C.V. - Mexico	Corporativos Laguna
SPN	?	Sepahan
SPO	?	Sporavia
SPP	Sapphire Aviation, Inc. (West Palm Beach, FL) - United States	Sapphire
SPQ	Servicios Aereos Palenque, S.A. de C.V. - Mexico	Servicios Palenque
SPR	?	Speedair
SPS	Spasa (Servicios Politecnicos Aereos, S.A.) - Spain	Salduero
SPT	Speed Aviation Limited - Bangladesh	Speed Aviation
SPU	Southeast Airmotive Corp. (Charlotte, NC) - United States	Sputter
SPV	Servicios Privados de Aviacion, S.A. de C.V. - Mexico	Servicios Privados
SPW	?	Royal Spirit
SPY	Asian Aerospace Service Ltd - Thailand	Thai Space
SPZ	Airworld (Pty) Ltd - South Africa	Speed Service
SQA	Slovak National Aeroclub	Slovak Aeroclub
SQC	Singapore Airlines Cargo Pte Ltd - Singapore	Singcargo
SQD	?	Aero Squad
SQF	Slovak Air Force	Slovak Airforce
SQH	?	Sasquatch
SQL	Servicios de Alquiler Aereo, S.A. de C.V. - Mexico	Alquiler
SQM	?	Golden Fin
SQS	Asi Pudjiastuti Aviation, Pt - Indonesia	Sky Queen
SQU	?	Remudo
SRB	?	Solar Thai
SRC	Searca Ltda. - Colombia	Searca
SRE	?	Serami
SRF	Transportes Aereos San Rafael Ltda. - Chile	San Rafael
SRH	Siem Reap Airways International - Cambodia	Siemreap Air
SRI	Air Safaris and Services (NZ) Ltd - New Zealand	Airsafari
SRJ	Surijet.com Inc. - Suriname	Surijet
SRK	Skywork SA - Switzerland	Skyfox
SRL	Servicios Aeronauticos Aero Personal, S.A. de C.V. - Mexico	Servicios Personal
SRM	Stars de Mexico, S.A. de C.V. - Mexico	Tarmex
SRN	Sprintair SA - Poland	Sprintair
SRO	Servicios Aereos Ejecutivos Saereo S.A. - Ecuador	Saereo
SRP	Polizeihubschrauberstaffel Rheinland-Pfalz, Winningen - Germany	Sperber
SRQ	Philippines	Blue Jay 
SRR	Star Air A/S - Denmark	Whitestar
SRS	?	Sky South
SRT	Servicios Aereos Surtep, S.A. de C.V. - Mexico	Surtep
SRU	Star Up S.A. - Peru	Star-Up
SRV	Aero Servicio Corporativo, S.A. de C.V. - Mexico	Servicorp
SRW	Sarit Airlines - Sudan	Saria
SRX	Sierra Expressway Airlines (Oakland, CA) - United States	Sierra Ex
SRY	United States	Stingray
SRZ	Strato Air Services - South Africa	Strato
SSA	Sky Service Aviation, S.L. - Spain	Star-Jet
SSB	?	Suasa Air
SSC	Southern Seaplane, Inc. (Belle Chasse, LA)	Southern Skies
SSD	Star Service International - France	Star Service
SSF	Severstal, Ltd Aircompany - Russian Federation	Severstal
SSG	?	Slovak Government
SSH	?	Snowshoe
SSI	Vision Airlines Ltd - Nigeria	Super Jet
SSJ	?	Siberian Sky
SSK	Skystar International, Inc. (Washington, NJ)	Skystar
SSM	?	Sasemar
SSN	?	Setouchi
SSO	?	Orinoco
SSP	Starspeed Ltd	Starspeed
SSQ	Sunstate Airlines (Qld) Pty - Australia	Sunstate
SSR	?	Sardinian
SSS	Compania de Servicios Aereos, S.A. (SAESA) - Spain	Saesa
SST	Royal Canadian Mounted Police (RCMP)	Stetson
SSU	Servicios Aereos Sucre C.A. (SASCA) - Venezuela	Sasca
SSX	?	Shasta
SSZ	Specsavers Aviation Ltd	Specsavers
STA	?	Star
STC	?	Air Jet
STD	Servicios de Aerotransportacion de Aguascalientes, S.A. de C.V. - Mexico	Aero Aguascalientes
STE	?	Steamline
STG	Sedalia, Marshall, Boonville Stage Line, Inc. (Des Moines, IA)	Stage
STI	Sontair Ltd - Canada	Sontair
STK	?	Stobart Air
STL	Stapleford Flight Centre - United Kingdom	Stapleford
STM	Star Airlines - The Former Yugoslav Republic of Macedonia	Starmac
STN	St. Athan Mu - United Kingdom	Saint Athan
STO	Streamline Ops, CJSC - Russian Federation	Slops
STP	STP Airways - Sao Tome and Principe	Saotome Airways
STQ	?	Startrek
STR	Brazil	Sterna
STT	?	Star Charter
STU	Strategic Airlines SA - Luxembourg	Luxliner
STV	Southern Aviation Limited - Ghana	Southern Aviation
STW	South West Air Corporation - Philippines	Sierra Whiskey
STX	Stars Away Aviation - South Africa	Starsaway
STY	Altius Aviation, LLC (Altus, OK)	Altair
STZ	?	Studio
SUA	Silesia Air J.S.C. - Czech Republic	Air Silesia
SUB	Suburban Air Freight, Inc. (Omaha, NE) - United States	Sub Air
SUD	Sudan Airways - Sudan	Sudanair
SUE	Aerolineas del Sureste, S.A. - Mexico	Aerosureste
SUF	Sunflower Airlines Limited - Fiji	Sunflower
SUG	Sunu Air - Senegal	Sunu Air
SUI	Swiss Air Force - Switzerland	Swiss Air Force
SUK	Superior Aviation Services Ltd - Kenya	Skycargo
SUL	?	Astair
SUM	?	Sumes
SUO	Aeroservicios de San Luis, S.A. de C.V. - Mexico	Servicio Sanluis
SUP	?	Sun Speed
SUQ	?	Superior
SUS	Sun-Air of Scandinavia A/S - Denmark	Sunscan
SUT	Sistemas Aeronauticos 2000, S.A. de C.V. - Mexico	Sistemas Aeronauticos
SUU	Star West Aviation (Evanston, WY) - United States	Sunstar
SUV	Sundance Air S.A. - Venezuela	Danceair
SUW	Sunny Airways Co., Ltd - Thailand	Sunny
SUY	Aerial Surveys (1980) Ltd - New Zealand	Survey
SVA	Saudi Arabian Airlines - Saudi Arabia	Saudia
SVB	?	Siavia
SVD	St. Vincent Grenadines Air (1990) Limited - Saint Vincent and the Grenadines	Grenadines
SVE	Aero Servicios Especializados, S.A. de C.V. - Mexico	Aeroespecial
SVF	Swedish Armed Forces	Swedeforce
SVG	Solenta Aviation Gabon	Solavia
SVI	Servicios de Transporte Aereo, S.A. de C.V. - Mexico	Setra
SVK	?	Vision
SVN	Savanair (Angola) Lda. - Angola	Savanair
SVO	Servicios Aeronauticos de Oriente, S.A. de C.V. - Mexico	Servioriente
SVP	Star Aviation Pvt. Ltd - India	Star India
SVR	Ural Airlines - Russian Federation	Sverdlovsk Air
SVS	Servicios Aereos Saar, S.A. de C.V. - Mexico	Aereos Saar
SVV	?	Saltaviation
SVW	Global Jet Luxembourg S.A. - Luxembourg	Silver Arrows
SVX	Security Aviation, Inc. (Anchorage, AK)	Security Air
SVZ	Servicios Ejecutivos Aereos Viz, S.A. de C.V. - Mexico	Servicios Viz
SWA	Southwest Airlines Co. (San Antonio, TX)	Southwest
SWB	Swissboogie Parapro SA - Switzerland	Swissboogie
SWC	Heliair Sweden Ab	Swedcopter
SWD	?	Sawblade
SWF	Galair International Limited - United Kingdom	Galair
SWG	Sunwing Airlines Inc. - Canada	Sunwing
SWH	Adler Aviation Ltd - Canada	Shockwave
SWI	Sunworld International Airways, Inc. (Las Vegas, NV) - United States	Sunworld
SWK	?	Zagel
SWL	?	South Wings
SWM	?	Sky Angkor
SWN	?	Air Sweden
SWO	Surinam International Victory Airline N.V. - Suriname	Siva
SWP	Star Work Sky - Italy	Star Work
SWQ	Interstate Equipment Leasing, Inc. D/B/A Swift Air (Phoenix, AZ) - United States	Swiftflight
SWR	Swiss International Air Lines Ltd - Switzerland	Swiss
SWS	Lindquist Investment Co., Ltd. D/B/A Sunwest  Aviation (Ogden, UT) - United States	Sunny West
SWT	Swiftair S.A. - Spain	Swift
SWU	?	Euroswiss
SWV	?	Swedemed
SWW	Shovkoviy Shlyah Ltd - Ukraine	Way Aero
SWZ	?	Skywise
SXA	?	Ferry
SXC	Sky Exec Aviation Services - Nigeria	Sky Exec
SXD	?	Sunrise
SXF	?	Southern Flight
SXI	Southern Cross International - Netherlands	Southern Cross
SXL	?	Sonic
SXN	Saxon Air - United Kingdom	Saxonair
SXP	South Pacific Express Holdings Limited - Samoa	Southpac Express
SXT	?	Sertaxi
SXY	Safari Express Cargo Limited - Kenya	Safari Express
SXZ	Great Circle Aviation, LLC (San Marcos, CA)	Socalair
SYA	?	Syphaxair
SYB	?	Skybiz
SYC	Systec 2000, Inc (Waterford, MI) - United States	Systec
SYD	?	Skydoctor
SYF	Sky One Express Airlines Inc. (Reistertown, MD) - United States	Sky First
SYG	Synergy Aviation Ltd - United Kingdom	Synergy
SXJ	?	Big Wing
SYK	J and A Properties D/B/A Satsair, Inc. (Greenville, SC) - United States	Aerocab
SYL	Aircompany Yakutia, Joint-Stock Company - Russian Federation	Air Yakutia
SYM	?	Volo Sky
SYN	?	Syncrude
SYO	Syerston FTU - United Kingdom	Syerston
SYR	Syrian Arab Airlines - Syrian Arab Republic	Syrianair
SYS	Shawbury FTU	Shawbury
SYT	Aerosud Aviation - South Africa	Skytrack
SYU	?	Sky Unlimited
SYV	Special Aviation Systems, Inc. (Leipsic, OH)	Special System
SYW	Sky Air World - Australia	Sky Air
SYY	South African Historic Flight - South Africa	Sky Coach
SYZ	?	Zil Air
SZA	?	Air Astro
SZG	?	Stotz Agro
SZN	?	Sensa
SZS	?	Spinnaker
SZT	Servicios Aeronauticos Z, S.A. de C.V. - Mexico	Aero Zee
TAA	Aeroservicios de La Costa, S.A. de C.V. - Mexico	Aero Costa
